batch,cell_rmsd_A,convergence_match,distribution,energy_error_eV_per_atom,force_error_eV_per_A,memory_gate_fraction,method,model,neighbor_fraction,neighbor_rebuilds,neighbor_time_s,observed_backend,peak_allocated_GB,peak_reserved_GB,pool,position_rmsd_A,requested_backend,source,speedup_vs_ase,speedup_vs_matscipy,status,step_difference,task,throughput_per_s,validation_passed,velocity_rmsd_A_per_fs,wall_time_s,workload
1,,,H46,,,,ase_b1,AtomBit,0.0,,0.0,,0.153703936,0.16777216,32,,ase,runs/direct_backend_frontier/eval/atombit_h46_r32.json,1.0,,passed,,eval,48.294514470641516,True,,0.662601132877171,EVAL-H46-R32-v1
16,,,H46,8.292820142663043e-08,4.76837158203125e-06,0.016625683165416606,native_batch,AtomBit,0.32448376058681405,2,0.08778163146972656,matscipy,1.22142208,1.413480448,32,,matscipy,runs/direct_backend_frontier/eval/atombit_h46_r32.json,2.449297236395252,1.0,passed,,eval,118.28762082599278,True,,0.2705270405858755,EVAL-H46-R32-v1
32,,,H46,1.3475831990391549e-07,5.364418029785156e-06,0.03053797590324296,native_batch,AtomBit,0.3103891206437201,1,0.08770512008666992,matscipy,2.333043712,2.596274176,32,,matscipy,runs/direct_backend_frontier/eval/atombit_h46_r32.json,2.3449507026276364,1.0,passed,,eval,113.24825564099139,True,,0.2825650586746633,EVAL-H46-R32-v1
16,,,H46,1.2439229472558666e-07,3.814697265625e-06,0.016625683165416606,native_batch,AtomBit,0.62472956911912,2,0.09008102750778199,cuda_dense,1.22142208,1.413480448,32,,auto,runs/direct_backend_frontier/eval/atombit_h46_r32.json,4.595268634168671,1.8761580121372892,passed,,eval,221.926267549344,True,,0.1441920343786478,EVAL-H46-R32-v1
32,,,H46,1.3475831990391549e-07,4.76837158203125e-06,0.03053797590324296,native_batch,AtomBit,0.27198731902471185,1,0.015297024250030516,cuda_dense,2.333043712,2.596274176,32,,auto,runs/direct_backend_frontier/eval/atombit_h46_r32.json,11.78131790656206,5.024121783609564,passed,,eval,568.9730281216895,True,,0.056241681799292564,EVAL-H46-R32-v1
1,,,MIX,,,,ase_b1,AtomBit,0.0,,0.0,,0.539405312,0.98566144,256,,ase,runs/direct_backend_frontier/eval/atombit_mix_r256.json,1.0,,passed,,eval,43.892571213356035,True,,5.832422045990825,EVAL-MIX-R256-v1
32,,,MIX,2.073205151000234e-07,8.52346420288086e-06,0.16038604145628896,native_batch,AtomBit,0.69685887943613,8,1.436753631591797,matscipy,7.3476608,13.635682304,256,,matscipy,runs/direct_backend_frontier/eval/atombit_mix_r256.json,2.8288601483225597,1.0,passed,,eval,124.16594551287287,True,,2.061756941024214,EVAL-MIX-R256-v1
64,,,MIX,1.9349913007159636e-07,9.357929229736328e-06,0.19647413414323928,native_batch,AtomBit,0.7086064471371146,4,1.437558792114258,matscipy,14.434113536,16.70381568,256,,matscipy,runs/direct_backend_frontier/eval/atombit_mix_r256.json,2.8749376282102377,1.0,passed,,eval,126.18840458017478,True,,2.028712549712509,EVAL-MIX-R256-v1
32,,,MIX,1.6585640285326086e-07,7.987022399902344e-06,0.1519005295736431,native_batch,AtomBit,0.2887280601650855,8,0.24171494102478028,cuda_dense,7.348221952,12.914262016,256,,auto,runs/direct_backend_frontier/eval/atombit_mix_r256.json,6.966817592092373,2.4627649395193734,passed,,eval,305.79153729137613,True,,0.8371716309338808,EVAL-MIX-R256-v1
64,,,MIX,1.658564110914375e-07,1.0788440704345703e-05,0.18872863783175436,native_batch,AtomBit,0.18962743647661542,4,0.13273891258239745,cuda_dense,14.43450624,16.045309952,256,,auto,runs/direct_backend_frontier/eval/atombit_mix_r256.json,8.332049882843487,2.8981671814669996,passed,,eval,365.7150928359425,True,,0.6999984551221132,EVAL-MIX-R256-v1
1,,,MIX,,,,ase_b1,AtomBit,0.0,,0.0,,0.51887616,0.98566144,32,,ase,runs/direct_backend_frontier/eval/atombit_mix_r32.json,1.0,,passed,,eval,41.08039296846667,True,,0.7789604160934687,EVAL-MIX-R32-v1
16,,,MIX,1.243923079066693e-07,3.814697265625e-06,0.057523877064913236,native_batch,AtomBit,0.6964256030563465,2,0.21752627563476562,matscipy,3.714354688,4.890558464,32,,matscipy,runs/direct_backend_frontier/eval/atombit_mix_r32.json,2.4938963164421257,1.0,passed,,eval,102.45024070205403,True,,0.31234675273299217,EVAL-MIX-R32-v1
