family,split,batch_size,pool_size,pool_to_resident_ratio,mean_atom_count,atom_count_cv,mean_edge_count,edge_count_cv,mean_edges_per_atom,homogeneous_atom_count,unique_structure_count,refill_storage,active_wall_seconds,refill_wall_seconds,refill_speedup,active_systems_per_second,refill_systems_per_second,active_mean_occupancy,refill_mean_occupancy,active_model_evaluations,refill_model_evaluations,active_graph_evaluations,refill_graph_evaluations,active_peak_reserved_GiB,refill_peak_reserved_GiB,refill_peak_reserved_fraction,active_converged,refill_converged,endpoint_max_energy_difference_meV_per_atom,endpoint_energy_outliers_above_5_meV_per_atom,endpoint_convergence_mismatches,endpoint_gate_passed,memory_gate_passed,training_eligible
GUFJOG44,fit,32,256,8.0,44.0,0.0,2101.0,0.27054555960956544,47.75,True,32,slots,103.54699476622045,79.75262574199587,1.298352170889027,2.4723073863995273,3.209925662236803,0.46848958333333335,0.884649433427762,1920,1059,28784,29979,2.58984375,2.982421875,0.0376667925720937,256,256,19.847967407920144,7,0,False,True,False
GUFJOG44,fit,64,256,4.0,44.0,0.0,2101.0,0.27054555960956544,47.75,True,32,slots,89.83488024119288,74.44496145658195,1.2067288166115404,2.849672636204103,3.438782088016866,0.35474537037037035,0.6393741519674355,1296,737,29424,30158,5.072265625,5.931640625,0.07491424298719619,256,256,17.610018903558906,4,0,False,True,False
GUFJOG44,fit,128,256,2.0,44.0,0.0,2101.0,0.27054555960956544,47.75,True,32,slots,70.45234840502962,65.33372069895267,1.0783458779221033,3.6336616989437935,3.918344114819467,0.29877752590673573,0.49017717050209203,772,478,29524,29991,10.013671875,11.3046875,0.14277367086265774,256,256,23.026498881253328,3,0,False,True,False
XATMOV88,fit,32,256,8.0,88.0,0.0,5049.75,0.29734861974107546,57.38352272727273,True,32,slots,32.94672513892874,27.73022291623056,1.1881161301319707,7.770119759111324,9.231804618857307,0.5067708333333333,0.8665480427046264,480,281,7784,7792,5.7890625,6.162109375,0.07782497090042936,256,256,0.018434091047807175,0,0,True,True,True
XATMOV88,fit,64,256,4.0,88.0,0.0,5049.75,0.29734861974107546,57.38352272727273,True,32,slots,26.242495461832732,24.549620839767158,1.0689572614222758,9.755169830259785,10.427859626463707,0.4989754098360656,0.7657232704402516,244,159,7792,7792,11.478515625,12.828125,0.16201407571284313,256,256,0.00011379068548029119,0,0,True,True,True
XATMOV88,fit,128,256,2.0,88.0,0.0,5049.75,0.29734861974107546,57.38352272727273,True,32,slots,23.40759231010452,23.121915123891085,1.0123552562442482,10.936622468834212,11.071747241883262,0.49884733606557374,0.5968137254901961,122,102,7790,7792,22.828125,23.923828125,0.3021483577050267,256,256,0.02000548622824929,0,0,True,True,True
XAFPAY172,fit,32,256,8.0,172.0,0.0,7358.8125,0.23670440848721752,42.783793604651166,True,32,slots,117.95207565417513,90.70421317405999,1.3004034931412383,2.1703729975093355,2.82236062738056,0.3645833333333333,0.8179838709677419,1728,775,20160,20286,8.955078125,9.701171875,0.12252191139855234,256,256,0.6186241327330123,0,0,True,True,True
XAFPAY172,fit,64,256,4.0,172.0,0.0,7358.8125,0.23670440848721752,42.783793604651166,True,32,slots,95.5881290929392,81.79603402968496,1.168615694230956,2.678156821660295,3.129736093403916,0.3442934782608696,0.6655068277310925,920,476,20272,20274,17.822265625,18.7421875,0.23670631402869102,256,256,0.024662461391715115,0,0,True,True,True
XAFPAY172,fit,128,256,2.0,172.0,0.0,7358.8125,0.23670440848721752,42.783793604651166,True,32,slots,79.92407904332504,78.30019329395145,1.02073923040365,3.2030397230004763,3.269468301807826,0.3442934782608696,0.48432721712538224,460,327,20272,20272,35.599609375,36.67578125,0.4632004131753606,256,256,0.002927558366642442,0,0,True,True,True
OBEQIX220,fit,32,256,8.0,220.0,0.0,9043.75,0.1907007061777489,41.10795454545455,True,32,slots,133.74837189819664,112.71825483394787,1.1865724154018311,1.9140419906932093,2.2711494280773703,0.4339593596059113,0.8465327918170878,1624,831,22552,22511,11.02734375,12.10546875,0.15288721700185776,256,256,0.15309073708274148,0,0,True,True,True
OBEQIX220,fit,64,256,4.0,220.0,0.0,9043.75,0.1907007061777489,41.10795454545455,True,32,slots,109.60911801923066,103.9204944241792,1.0547401513683319,2.335572118690759,2.4634216899995467,0.43349753694581283,0.7167451629327902,812,491,22528,22523,21.126953125,23.513671875,0.29696824870689986,256,256,0.034843791614879265,0,0,True,True,True
OBEQIX220,fit,128,256,2.0,220.0,0.0,9043.75,0.1907007061777489,41.10795454545455,True,32,slots,98.68527253018692,97.52280005300418,1.011920007183458,2.5941054165067228,2.6250271717061304,0.4333435960591133,0.5830564784053156,406,301,22520,22464,43.849609375,46.197265625,0.5834529434890192,256,256,1.0886885903098367,0,0,True,True,True
ROFB296,fit,32,256,8.0,296.0,0.0,12003.125,0.1443924494580221,40.551097972972975,True,32,slots,339.3327922737226,283.9571280707605,1.1950141719603629,0.7544216351289084,0.9015445456125555,0.3583916083916084,0.8128300330033004,3432,1515,39360,39406,14.736328125,15.755859375,0.1989901870851866,256,256,2.3402652224978886,0,0,True,True,True
ROFB296,fit,64,256,4.0,296.0,0.0,12003.125,0.1443924494580221,40.551097972972975,True,32,slots,286.31174520310014,267.09346541715786,1.0719533881367198,0.8941302768365371,0.9584659796905491,0.36412559382422804,0.6637925215982722,1684,926,39244,39339,29.380859375,30.80859375,0.38910018731644147,256,256,0.46246760600322,0,0,True,True,True
ROFB296,fit,128,256,2.0,296.0,0.0,12003.125,0.1443924494580221,40.551097972972975,True,32,slots,261.1817338797264,256.7663465347141,1.0171961294951686,0.9801604277498496,0.9970153933914758,0.3570130813953488,0.47908541341653665,860,641,39300,39308,58.693359375,61.13671875,0.7721322469493629,256,256,0.46246760600322,0,0,True,True,True
ROFA-MIX,fit,32,256,8.0,185.0,0.4472135954999579,5716.8125,0.44850715179223755,30.80884009009009,False,32,repack,92.58737510070205,64.31086291698739,1.43968485106807,2.7649558022523406,3.9806649823754565,0.2984457671957672,0.768899063032368,1512,587,14440,14443,7.486328125,8.52734375,0.10769693278962744,256,256,0.048083228033942146,0,0,True,True,True
ROFA-MIX,fit,64,256,4.0,185.0,0.4472135954999579,5716.8125,0.44850715179223755,30.80884009009009,False,32,repack,65.97026235610247,55.36866226885468,1.1914729316697124,3.8805363334487204,4.623554001664983,0.2984457671957672,0.6392970963172805,756,353,14440,14443,14.875,16.515625,0.20858572232457392,256,256,0.04843119028452281,0,0,True,True,True
ROFA-MIX,fit,128,256,2.0,185.0,0.4472135954999579,5716.8125,0.44850715179223755,30.80884009009009,False,32,repack,52.810635559260845,50.82938563171774,1.0389784354644411,4.847508409792428,5.036456703506858,0.2984457671957672,0.4643454218106996,378,243,14440,14443,29.671875,33.7578125,0.42634763773154394,256,256,0.04843119028452281,0,0,True,True,True
SOXLEX48,heldout,32,256,8.0,48.0,0.0,1805.875,0.23739526538320055,37.622395833333336,True,32,slots,42.56457117199898,33.96863817516714,1.253054978315731,6.014391616105582,7.536363356101495,0.3836009174311927,0.6548624517374517,872,518,10704,10855,2.181640625,2.416015625,0.030513308717537598,256,256,23.454129695892334,1,0,False,True,False
SOXLEX48,heldout,64,256,4.0,48.0,0.0,1805.875,0.23739526538320055,37.622395833333336,True,32,slots,29.509953061118722,24.870347298216075,1.1865517078338284,8.675039213711818,10.293382594555188,0.38345756880733944,0.6798145325203252,436,246,10700,10703,4.1328125,4.58203125,0.057869217664788364,256,256,0.02314647038777669,0,0,True,True,False
SOXLEX48,heldout,128,256,2.0,48.0,0.0,1805.875,0.23739526538320055,37.622395833333336,True,32,slots,24.44476382713765,23.09302628133446,1.0585344479902907,10.472590441466998,11.085597741986666,0.3836009174311927,0.52265625,218,160,10704,10704,8.158203125,8.646484375,0.10920163111765477,256,256,0.0006854534149169922,0,0,True,True,False
AXOSOW64,heldout,32,256,8.0,64.0,0.0,4615.0,0.23099353795362343,72.109375,True,32,slots,131.7612404860556,94.5406977920793,1.393698624647709,1.9429082411158134,2.7078285434598084,0.4178015564202335,0.8917714884696016,2056,954,27488,27224,5.150390625,6.53515625,0.08253640337015425,256,256,7.842466235160828,3,0,False,True,False
AXOSOW64,heldout,64,256,4.0,64.0,0.0,4615.0,0.23099353795362343,72.109375,True,32,slots,96.10945740435272,84.71443264419213,1.1345110201944062,2.66362964596662,3.021917187065655,0.4140625,0.7594747340425532,1032,564,27348,27414,10.19140625,12.927734375,0.1632721021838168,256,256,2.5682076811790466,0,0,True,True,False
AXOSOW64,heldout,128,256,2.0,64.0,0.0,4615.0,0.23099353795362343,72.109375,True,32,slots,83.6567426128313,79.01436175312847,1.0587536336015397,3.0601239302943486,3.2399173304701665,0.41752796692607,0.5887920673076923,514,364,27470,27433,21.013671875,25.037109375,0.3162086535570853,256,256,0.41247159242630005,0,0,True,True,False
BOQWIN116,heldout,32,256,8.0,116.0,0.0,6704.0,0.20598858902332864,57.793103448275865,True,32,slots,107.78261175984517,84.820054192096,1.2707208547137305,2.375151203149577,3.018154166940576,0.3997790404040404,0.8311591809775429,1584,757,20264,20134,8.1171875,9.134765625,0.11536842754399623,256,256,0.4319322520288928,0,0,True,True,False
