workload,mode,wall_seconds,systems_per_second,atoms_per_second,speedup_vs_active,speedup_vs_immediate,peak_allocated_GiB,peak_reserved_GiB,peak_reserved_fraction,model_evaluations,graph_evaluations,optimizer_steps_total,neighbor_rebuilds,refill_events,convergence_checks,scheduler_seconds,converged_jobs,max_energy_difference_meV_per_atom_vs_immediate,max_position_rmsd_A_vs_immediate,max_cell_rmsd_A_vs_immediate,total_step_difference_vs_immediate
H46,active,80.17754253186285,3.192914024500871,146.87404512704006,1.0,0.8726927149014108,4.336429595947266,7.935546875,0.10022277552090159,1076,30348,30092,540,0,0,1.072252541422844,256,0.36648045415463654,0.046127322926497315,0.026758003456879845,-32
H46,immediate,69.97035726625472,3.6586921948369637,168.29984096250035,1.1458787072755285,1.0,4.542518138885498,23.044921875,0.29104812413761205,663,30380,30124,527,176,663,1.2148892827033995,256,0.0,0.0,0.0,0
H46,frozen_k5,68.41323526203632,3.7419659956069755,172.13043579792088,1.1719595225217299,1.0227605374640494,4.572547435760498,23.04296875,0.2910234569519067,670,30870,30124,530,95,670,0.6071872336864472,256,0.36655301633088483,0.04613971411867101,0.026653865509030306,0
H46,block_k5,83.64302784996107,3.0606256920685966,140.78878183515545,0.9585681507810238,0.8365354419231165,4.696197032928467,38.787109375,0.4898656409228611,766,37474,37218,634,108,154,0.6995469422340395,256,20.169527634330418,1.0356048099282575,0.9500464739734044,7094
STEPVAR,active,107.59456164110452,2.3793024117140873,656.6874656330881,1.0,0.9454331130166753,24.238414764404297,42.775390625,0.5402360341332182,740,18720,18464,212,0,0,0.5773399641513824,256,3.0021114625792573,0.36173232469544225,0.12677212440741945,-18
STEPVAR,immediate,101.72346135601401,2.5166269077695413,694.5890265443935,1.0577162849830946,1.0,26.253289699554443,78.3359375,0.9893514842708149,416,18738,18482,313,157,416,1.0486049628257752,256,0.0,0.0,0.0,0
STEPVAR,frozen_k5,102.95711293909699,2.486472208592656,686.266329571573,1.0450425285793588,0.988017811029601,26.731689453125,78.263671875,0.9884387983997164,421,19211,18554,308,62,421,0.46138908720016486,256,3.0020147130109263,0.3618541747501627,0.12677094941105702,72
STEPVAR,block_k5,143.81764970067888,1.7800318704470635,491.2887962433895,0.7481318312810435,0.7073086061949032,26.686275959014893,78.158203125,0.9871067703716265,656,26184,25928,462,91,132,0.5646882879734039,256,7.8059624934542,1.2043044432499166,0.3780223570391384,7446
