model,task,pool_size,workload_id,method,batch_size,status,wall_time_s,end_to_end_time_s,speedup_vs_ase_b1_measured,speedup_vs_ase_b1_derived,speedup_reference,speedup_vs_ase_b1_end_to_end,throughput_per_s,atoms_per_s,peak_allocated_GB,peak_reserved_GB,gpu_memory_GB,memory_gate_fraction,model_time_s,neighbor_search_time_s,graph_update_time_s,mean_directed_edges_per_system,mean_candidate_edges_per_system,neighbor_rebuild_events,rebuilt_systems,max_energy_error_eV_per_atom,max_force_error_eV_per_A,endpoint_position_rmsd_A_max,endpoint_velocity_rmsd_A_per_fs_max,max_abs_energy_drift_eV_per_atom,mean_abs_energy_drift_eV_per_atom,validation_pass,concurrent_workers,torch_cpu_threads,source_status
AtomBit,eval,256,EVAL-H46-R256-v1,ase_b1,1,passed,5.6267785262316465,7.145295879337937,,,,,45.496725845267584,2092.849388882309,0.153703936,0.16777216,85.01788672,0.0019733748564292708,5.62624462890625,0.0,0.0,,,0,0,,,,,,,,,,passed
AtomBit,eval,256,EVAL-H46-R256-v1,native_batch,32,passed,1.0294196638278663,1.5046581248752773,5.465971482717396,,measured_same_workload,4.748783634774323,248.68380602724417,11439.455077253231,2.336291328,2.604662784,85.01788672,0.030636644646064422,0.19045100784301755,0.6986424674987791,0.39468156814575195,1628.8125,1628.8125,16,512,1.0366025178328804e-07,6.794929504394531e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H46-R256-v1,native_batch,64,passed,0.9872821196913719,1.4348613861948252,5.6992610460631035,,measured_same_workload,4.979781286251542,259.297717333346,11927.694997333914,4.618169344,5.12753664,85.01788672,0.06031126904961958,0.1635678358078003,0.7032943038940429,0.38716371154785156,1628.8125,1628.8125,8,512,1.1402627696161685e-07,5.7220458984375e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H46-R256-v1,native_batch,128,passed,0.9715786161832511,1.412277183495462,5.791377488664664,,measured_same_workload,5.05941465516914,263.4887138682305,12120.480837938603,9.127479808,10.095689728,85.01788672,0.11874783198563135,0.15615379333496093,0.7063317413330079,0.38682563781738283,1628.8125,1628.8125,4,512,1.1402627696161685e-07,6.4373016357421875e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H46-R256-v1,native_batch,256,passed,0.952430035918951,1.3793833870440722,5.907812977362328,,measured_same_workload,5.180065199023337,268.78614737616783,12364.16277930372,18.17134592,20.078133248,85.01788672,0.23616363594317297,0.14821196365356445,0.7042946166992188,0.382177490234375,1628.8125,1628.8125,2,512,1.1402627325443736e-07,5.125999450683594e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H276-R256-v1,ase_b1,1,passed,7.077129296027124,16.292873406782746,,,,,36.172858978810844,9983.709078151793,0.539405312,1.002438656,85.01788672,0.011790914767164892,7.07675341796875,0.0,0.0,,,0,0,,,,,,,,,,passed
AtomBit,eval,256,EVAL-H276-R256-v1,native_batch,32,passed,3.200964172836393,12.421422204002738,2.2109367408995517,,measured_same_workload,1.3116753572334456,79.97590293963113,22073.34921133819,12.1836928,13.981712384,85.01788672,0.16445612709767432,0.8013287315368652,2.2400528564453124,1.1694257049560548,8694.75,8694.75,16,512,2.349632398469059e-07,9.059906005859375e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H276-R256-v1,native_batch,64,passed,3.1991406651213765,12.448424664326012,2.212196973138915,,measured_same_workload,1.3088301408509895,80.02148914270616,22085.9310033869,24.275830784,26.931625984,85.01788672,0.31677599882830865,0.7835964584350587,2.2634756774902347,1.1729198608398437,8694.75,8694.75,8,512,1.7967776975769928e-07,7.3909759521484375e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H276-R256-v1,native_batch,128,passed,3.182165330275893,12.41809889441356,2.2239979892602055,,measured_same_workload,1.312026385464872,80.44836563466828,22203.748915168446,48.482006528,56.075747328,85.01788672,0.6595758785757783,0.7771510925292968,2.2624088134765623,1.1700607299804688,8694.75,8694.75,4,512,1.7967777964351125e-07,8.761882781982422e-06,,,,,True,,,passed
AtomBit,eval,256,EVAL-H276-R256-v1,native_batch,256,oom,,,,,,,,,,,85.01788672,,0,0.0,0.0,,,0,0,,,,,,,,,,oom
