model,optimizer,batch_size,refill_interval,wall_time_s,speedup_vs_interval_1,systems_per_second,model_evaluations,graph_evaluations,frozen_graph_evaluations,refill_events,mean_inserted_jobs_per_event,scheduler_time_s,peak_allocated_GiB,peak_reserved_GiB,converged_jobs,convergence_flags_match_interval_1,max_converged_step_difference,max_endpoint_energy_difference_meV_per_atom,passes_predeclared_gate
atombit,bfgs,64,1,68.6111482870765,1.0,3.731172067385728,663,30380,0,176,1.0909090909090908,1.15346860742569,4.533364772796631,5.111328125,256,True,0,0.0,False
atombit,bfgs,64,2,67.73817628296092,1.0128874447470941,3.779257341246063,661,30509,128,149,1.2885906040268456,0.9589299156665799,4.542459011077881,5.111328125,256,True,3,0.05978086720342221,False
atombit,bfgs,64,5,71.50592133402824,0.9595170163121277,3.5801230894451073,670,30870,490,95,2.0210526315789474,0.6577256002426146,4.566662788391113,5.130859375,256,True,13,0.3665530163308849,False
atombit,bfgs,128,1,63.21479632984847,1.0,4.049684802656291,421,30379,0,123,1.0406504065040652,2.2310256905555725,9.037543296813965,10.072265625,256,True,0,0.0,False
atombit,bfgs,128,2,62.49014932382852,1.0115961797797086,4.096645675679047,429,30483,130,99,1.292929292929293,1.6054678127765654,9.047571182250977,10.091796875,256,True,21,0.7250723631485649,False
atombit,bfgs,128,5,59.690765279810876,1.0590381281512824,4.288770613007814,429,30869,487,59,2.169491525423729,0.8489353001117707,9.087788581848145,10.091796875,256,True,4,0.06537852079971977,False
atombit,fire,64,1,100.04646922415122,1.0,2.5588109404084953,1407,46798,0,181,1.0607734806629834,1.1665193617343899,4.319931983947754,4.85546875,256,True,0,0.0,False
atombit,fire,64,2,104.42222480103374,0.9580955530757932,2.451585383167068,1408,46858,86,162,1.1851851851851851,1.1320589423179626,4.319769859313965,4.85546875,256,True,13,0.10273767554241678,False
atombit,fire,64,5,99.26282081287354,1.007894682065856,2.579011939249655,1404,47234,420,125,1.536,0.8032331855297086,4.31423807144165,4.857421875,256,True,22,0.18887934477432916,False
atombit,fire,128,1,92.30090029491112,1.0,2.7735374106000372,1035,46779,0,122,1.0491803278688525,2.288969746828079,8.558813095092773,9.271484375,256,True,0,0.0,False
atombit,fire,128,2,93.66418067505583,0.9854450188928223,2.733168625988703,1036,46906,85,109,1.1743119266055047,2.007300230264663,8.558813095092773,9.26953125,256,True,21,0.19856121229088824,False
atombit,fire,128,5,92.73479849332944,0.9953210854450767,2.7605602660409567,1036,47226,429,85,1.5058823529411764,1.5417785267829902,8.558813095092773,9.271484375,256,True,24,0.1477054927660071,False
mace,bfgs,64,1,80.99382229102775,1.0,3.1607348901270322,731,37408,0,185,1.037837837837838,1.002272380709648,4.298095703125,4.92578125,256,True,0,0.0,False
mace,bfgs,64,2,82.88199551217258,0.9772185357087896,3.0887287210936205,731,37519,111,154,1.2467532467532467,0.8999643809795379,4.30636739730835,4.9453125,256,True,0,4.6487042234967585e-07,False
mace,bfgs,64,5,81.32898123096675,0.9958789728474875,3.1477094158229253,738,38038,630,102,1.8823529411764706,0.5773927364349365,4.32822847366333,4.9453125,256,True,0,3.348522232440503e-07,False
mace,bfgs,128,1,75.73590431688353,1.0,3.3801669407535,450,37408,0,120,1.0666666666666667,1.6503091520071032,8.529150485992432,9.76171875,256,True,0,0.0,False
mace,bfgs,128,2,75.05487969284877,1.009073688837045,3.4108375237911637,451,37519,111,105,1.2190476190476192,1.3578052558898928,8.546613216400146,9.76171875,256,True,0,3.3026520648728247e-07,False
mace,bfgs,128,5,74.84899242874235,1.011849349728863,3.420219720976429,453,38038,630,67,1.9104477611940298,0.8381030406951904,8.582978248596191,9.76171875,256,True,0,4.5411465892001335e-07,False
mace,fire,64,1,107.72094796597958,1.0,2.3765108350220787,1421,49120,0,195,0.9846153846153847,1.061878211259842,4.251702785491943,4.88671875,256,True,0,0.0,False
mace,fire,64,2,106.99708887608722,1.0067652222831096,2.3925884590792212,1421,49231,111,170,1.1294117647058823,0.9482210838794705,4.251702785491943,4.88671875,256,True,0,9.49037949676099e-10,False
mace,fire,64,5,107.52191688166931,1.0018510745537517,2.380909933755503,1432,49597,477,115,1.6695652173913043,0.6867095670700073,4.251702785491943,4.88671875,256,True,0,6.326919664507327e-10,False
mace,fire,128,1,98.75765041587874,1.0,2.592204238577542,1117,49120,0,117,1.0940170940170941,1.7258669764995573,8.432315349578857,9.642578125,256,True,0,0.0,False
mace,fire,128,2,99.13918660301715,0.9961515098094743,2.582228165993537,1119,49231,111,97,1.3195876288659794,1.42084851694107,8.432315349578857,9.642578125,256,True,0,1.4235569245141487e-09,False
mace,fire,128,5,98.82854074705392,0.9992826937376661,2.5903448342439614,1122,49597,477,70,1.8285714285714285,0.9757438735961912,8.432315349578857,9.642578125,256,True,0,9.49037949676099e-10,False
