workload_id,pool_size,scope,gpu_count,auto_external_s,mps_external_s,external_speedup_over_mps,auto_production_s,mps_production_s,production_speedup_over_mps,auto_setup_output_s,auto_worker_startup_s,auto_worker_execution_s,auto_worker_max_over_mean,mps_gpu_max_over_mean,neighbor_phase_fraction,model_forward_phase_fraction,model_autograd_phase_fraction,bfgs_phase_fraction,compaction_phase_fraction,auto_peak_memory_fraction,predicted_actual_memory_ratio_p50,execution_chunks,resident_waves,auto_converged,mps_converged,convergence_difference,convergence_state_mismatches,energy_abs_difference_p95_eV,position_component_difference_p95_A,cell_component_difference_p95_A,all_scientific_and_resource_gates_pass
OPT-OMC-SCHED-E1-DEVELOPMENT-BOQWIN-P64-INTRA-NARROW-v2,64,intra_family,1,50.22413460211828,92.04086906695738,1.8326023891922951,35.78302328614518,74.68366879504174,2.0871257355148773,5.264118240214884,4.463611135259271,35.78302328614518,1.0,1.0,0.17067113373999915,0.1974914321326209,0.36492072805615833,0.09858265717064683,0.00853431686583208,0.12513663308332112,2.2289892840207846,2,1,64,64,0,0,0.2711219787597656,0.545615668254257,0.1632206052538301,True
OPT-OMC-SCHED-E1-DEVELOPMENT-GUFJOG-P64-INTRA-NARROW-v2,64,intra_family,1,56.372774857096374,118.14532097056508,2.0957868628972163,44.95885800290853,101.3559495890513,2.254415572176995,2.297924095764756,4.488897862844169,44.95885800290853,1.0,1.0,0.20992775865737942,0.17799325305800942,0.279217621780527,0.12231543713692597,0.007619996072333464,0.0399855080283981,2.289811871748055,2,1,64,64,0,0,1.3620147705078125,3.3663501698497544,1.7424417747925656,True
OPT-OMC-SCHED-E1-DEVELOPMENT-KONTIQ-P64-INTRA-NARROW-v2,64,intra_family,1,72.82738695899025,159.76358532020822,2.193729474465046,59.60374296782538,143.06110493373126,2.400203373317627,3.6877345577813685,4.780645074788481,59.60374296782538,1.0,1.0,0.2180164209595899,0.17569612794893918,0.30691045660696564,0.12612209810117597,0.006089213144899018,0.06872277937514935,2.332330596513876,2,1,62,63,-1,3,2.4923582077026367,3.2741396644997813,1.3441569871481214,False
OPT-OMC-SCHED-E1-DEVELOPMENT-ROF-B-P64-INTRA-NARROW-v2,64,intra_family,1,125.8201114940457,542.0321111576632,4.307992615181511,93.06695561017841,520.2613859591074,5.590183782719635,22.71096510719508,4.272303130943328,93.06695561017841,1.0,1.0,0.11143817940736195,0.17781163465894873,0.36797694259383257,0.22510314921061672,0.0033189244156969114,0.21675056079305002,2.5529417568979866,2,1,62,64,-2,2,2.3985023498535156,1.731856593120097,0.4369929355585924,False
OPT-OMC-SCHED-E1-DEVELOPMENT-XAFPAY-P64-INTRA-WIDE-v2,64,intra_family,1,45.71478321030736,95.85776832094416,2.096865862405118,28.633550442755222,77.52140775509179,2.7073627460232066,7.888665935955942,4.328757079783827,28.633550442755222,1.0,1.0,0.18219513493376815,0.18828814627456303,0.35067690340341756,0.10230585173149682,0.009482727590600197,0.1741009967084724,1.1511722137167355,2,2,64,64,0,0,0.2019786834716797,0.5188441081392874,0.08984814391189921,True
OPT-OMC-SCHED-E1-DEVELOPMENT-BOQWIN-P512-INTRA-NARROW-v2,512,intra_family,4,135.51875987183303,183.30986058479175,1.3526530257372278,55.08648290578276,147.45059979567304,2.676711091682244,33.25454924069345,34.32742586731911,55.08648290578276,1.1009378761173259,1.0691104553466313,0.19000298341772745,0.1884800885826531,0.38119131311158616,0.08134593480846197,0.01610635792538499,0.26988367880240816,4.443833425944287,8,3,512,512,0,0,0.3072013854980469,0.7066098622529289,0.24919415476209572,True
OPT-OMC-SCHED-E1-DEVELOPMENT-GUFJOG-P512-INTRA-NARROW-v2,512,intra_family,4,99.13908005179837,219.32345055695623,2.2122804694411498,69.65771911712363,192.32849564030766,2.761050721699965,9.05021470412612,12.62489807838574,69.65771911712363,1.1055661616282069,1.074195954891653,0.2884802861988458,0.15475450821247513,0.25860197483923253,0.12717052155588127,0.01785779423297157,0.07126349950280204,5.714300287359443,8,2,508,511,-3,5,1.1684141159057617,2.8658050184818986,1.828200874453115,False
OPT-OMC-SCHED-E1-DEVELOPMENT-HAMTIZ-P512-INTRA-NARROW-v2,512,intra_family,4,127.55633229902014,256.0880129598081,2.0076464127196867,80.78613039618358,227.12171069299802,2.8113948468526657,26.46130940131843,11.912694876082242,80.78613039618358,1.1048790035578309,1.0677367258315238,0.22575183075694352,0.18580212179321365,0.36782043480986987,0.0905684902398383,0.014830365041293248,0.20604500219692123,4.662630613048708,8,3,510,512,-2,2,1.1305160522460938,2.3001077500397322,1.1187342911162546,False
OPT-OMC-SCHED-E1-DEVELOPMENT-KONTIQ-P512-INTRA-NARROW-v2,512,intra_family,4,139.9913998330012,333.8414051248692,2.38472795845399,99.88238477800041,304.71853945590556,3.050773568664545,19.050639489199966,12.812201170250773,99.88238477800041,1.0164780713565922,1.0591166631098277,0.2743008725121249,0.16840682497123133,0.3328139828424261,0.09968713868318614,0.012070883980403964,0.13589152605086066,5.522677176415676,8,2,497,504,-7,17,2.166335105895996,2.9736586102417792,1.4152404766400863,False
OPT-OMC-SCHED-E1-DEVELOPMENT-MIX-ALL-P512-INTER-WIDE-v2,512,inter_family,4,146.25452872691676,345.8233007118106,2.3645305463157604,90.95015409402549,316.47622630465776,3.4796667411633013,34.32932078000158,11.923972490243614,90.95015409402549,1.1319043308938863,1.2037495588722127,0.20775313432059633,0.17237032212285422,0.32442243609026117,0.1566735735874398,0.013834353982209722,0.2774318376282501,1.281361089590853,8,6,507,511,-4,6,1.3620190620422363,2.205418187841027,1.2437977379392393,False
OPT-OMC-SCHED-E1-DEVELOPMENT-NACJAF-P512-INTRA-NARROW-v2,512,intra_family,4,108.92778096208349,230.5544449808076,2.11658075602459,75.11435161624104,203.53559962986037,2.7096765831078864,12.462816521059722,12.885262709110975,75.11435161624104,1.0921209952115178,1.0546967882159628,0.29817843786289466,0.1554968394006007,0.25733355460216983,0.122656980651337,0.01640893449222888,0.07548158825841961,6.083242997475202,8,2,505,511,-6,8,1.2465991973876953,3.0339185394498607,1.8670068301381786,False
OPT-OMC-SCHED-E1-DEVELOPMENT-OBEQUJ-P512-INTRA-NARROW-v2,512,intra_family,4,124.21789774764329,228.57139986520633,1.8400842713468226,76.91977876704186,200.1945522800088,2.602640770539852,26.56472838576883,12.05133547494188,76.91977876704186,1.1037646264305125,1.0241171564762135,0.20475490438014313,0.1890635989381521,0.3814699729564449,0.09932263336165625,0.014743941719659799,0.23384492048686858,4.773449605948213,8,3,511,512,-1,1,1.9056806564331055,2.551804486395323,1.5028590592821178,False
OPT-OMC-SCHED-E1-DEVELOPMENT-PAHYON-P512-INTRA-NARROW-v2,512,intra_family,4,126.81270936923102,294.3668087730184,2.321272136185757,86.12732209730893,266.0307759460993,3.088808167581603,20.26701499382034,11.914863709360361,86.12732209730893,1.0984316644258871,1.1368977922813737,0.2386378350655768,0.17482305650760058,0.3316270393464414,0.11111551493182639,0.014564255229672852,0.1493844766316958,5.9459563151043175,8,2,504,504,0,10,3.1686229705810547,3.1296145527724732,1.8828140123204786,True
OPT-OMC-SCHED-E1-DEVELOPMENT-ROF-B-P512-INTRA-NARROW-v2,512,intra_family,4,352.7634008047171,1017.7459575352259,2.8850667478926764,157.8607879029587,977.155564609915,6.189982817079306,173.90412077587098,12.109195787925273,157.8607879029587,1.1721263501368502,1.0731450971077794,0.1301727070317245,0.19498763782849937,0.4168233013703823,0.18064228589232445,0.006837790124882674,0.6781502694119189,2.522744424195542,8,5,508,505,3,9,2.8281192779541016,1.9973155850505986,0.37448592351217513,True
OPT-OMC-SCHED-E1-DEVELOPMENT-SOXLEX-P512-INTRA-NARROW-v2,512,intra_family,4,46.92236986430362,87.90918195201084,1.8735026002786808,17.83384734718129,58.73981740325689,3.293726600869495,9.6790895559825,12.658249092753977,17.83384734718129,1.031479907629723,1.0149530113991017,0.28140090556400504,0.14225315286473758,0.22700016340767162,0.11474046322761111,0.04102428755206142,0.06711941230430057,6.090926289446267,8,2,512,512,0,0,0.2833423614501953,0.9790195726581192,0.6388178790444226,True
OPT-OMC-SCHED-E1-DEVELOPMENT-UJIRIO-P512-INTRA-NARROW-v2,512,intra_family,4,136.88724187528715,256.33431962598115,1.8725946707255434,86.93072091601789,227.31095724599436,2.6148518596273362,29.701495639048517,12.014000469818711,86.93072091601789,1.1455465606539286,1.043726081424519,0.22477371348461836,0.18724162378897882,0.373859502852792,0.08936819743711318,0.015360100854289528,0.20907906603868123,4.516365512186747,8,3,512,512,0,0,1.0088329315185547,1.9254874453665174,0.7880504789695593,True
OPT-OMC-SCHED-E1-DEVELOPMENT-XAFPAY-P512-INTRA-WIDE-v2,512,intra_family,4,130.29403547290713,207.0189091451466,1.5888594469713342,60.73157889395952,176.015128408093,2.8982471987995657,48.597775092348456,12.85097529180348,60.73157889395952,1.2143895322442104,1.0137676375872626,0.20923937142847585,0.1878121352953957,0.3700960835817378,0.09511290447062148,0.01614131578935344,0.25027326616664225,3.7066688895772955,8,3,512,512,0,0,0.11513614654541016,0.3138920839563246,0.04612493150256469,True
OPT-OMC-SCHED-E1-DEVELOPMENT-XATMOV-P512-INTRA-NARROW-v2,512,intra_family,4,60.04828252037987,74.0500061661005,1.2331744232812747,17.875773499254137,44.79330297000706,2.5058106141183796,20.654730848036706,13.978647594805807,17.875773499254137,1.0593732530814497,1.0781986979857223,0.19081866747911524,0.19794363537374693,0.3217334049157414,0.09273857376961052,0.01666644794770271,0.15557594024374263,5.928922406414099,8,2,512,512,0,0,0.0003695487976074219,0.003448451175445122,0.0004687222843635652,True
OPT-OMC-SCHED-E1-DEVELOPMENT-BOQWIN-P2048-INTRA-NARROW-v2,2048,intra_family,7,265.88149848906323,368.0158922597766,1.3841350163554706,105.72204030584544,323.8019606298767,3.0627668525233096,121.5558161297813,21.93424933217466,105.72204030584544,1.1172895042012057,1.0580849934241403,0.20310483785513123,0.2045222163049741,0.4190162423431186,0.07167216849366043,0.030086337794000873,0.7617473617674039,2.2463719521000813,14,10,2048,2048,0,0,0.3081064224243164,0.7540886936312567,0.21507379195774412,True
OPT-OMC-SCHED-E1-DEVELOPMENT-GUFJOG-P2048-INTRA-NARROW-v2,2048,intra_family,7,189.05017619533464,465.58742728317156,2.462771718351148,124.05823742691427,427.7043109666556,3.447609121632303,31.11298803286627,21.335167129989713,124.05823742691427,1.173877816420652,1.120963299868256,0.35847949141289104,0.13386152886357158,0.256276853703651,0.11546405034051191,0.04018277270355837,0.19758415749998073,2.2315112029965687,14,8,2041,2047,-6,8,1.281829833984375,2.959017095707094,2.003558120557846,False
OPT-OMC-SCHED-E1-DEVELOPMENT-KONTIQ-P2048-INTRA-NARROW-v2,2048,intra_family,7,310.1199976252392,716.3727054181509,2.309985524647923,200.6077011669986,676.3950082627125,3.371730019973851,72.60020872671157,22.28407329088077,200.6077011669986,1.0642083989945967,1.0468829092749032,0.29597078285605294,0.1661549280820396,0.35397918890574886,0.09161516394997289,0.027929584156845905,0.37595257733548143,2.277495265302405,14,8,1974,2008,-34,76,2.1294326782226562,3.1297835100857947,1.5984677042899946,False
OPT-OMC-SCHED-E1-DEVELOPMENT-ROF-B-P2048-INTRA-NARROW-v2,2048,intra_family,7,1052.8151949900202,2071.2794165890664,1.9673722667050795,335.55837443470955,2001.535817896016,5.964791733384261,673.4743004743941,22.60696693789214,335.55837443470955,1.1101957419785073,1.0356071434581742,0.1260995444861047,0.19602564845520712,0.41935430556691516,0.19653948917934877,0.009781100280664104,0.6950472916200945,1.295659471706067,19,19,2035,2032,3,25,1.9314098358154297,1.767664016840648,0.30075499328275157,True
OPT-OMC-SCHED-E1-DEVELOPMENT-XAFPAY-P2048-INTRA-WIDE-v2,2048,intra_family,7,332.02388637699187,439.8874483802356,1.3248668738271787,102.12009917432442,392.75939428666607,3.846053788257735,192.8966274317354,21.873343247920275,102.12009917432442,1.109291640651968,1.052755030404077,0.22612554414743816,0.19453159601304326,0.39711229227116523,0.0811510960441075,0.0277890363618398,0.7047414956023033,2.3088986232531186,14,10,2048,2048,0,0,0.14642333984375,0.4189753921035789,0.06239227217387011,True
