workload_id,offline_external_seconds,probe_backed_external_seconds,mps_external_seconds,speedup_over_probe_backed,speedup_over_mps,offline_converged,probe_backed_converged,mps_converged,peak_reserved_bytes,peak_reserved_fraction,resident_plan_chunks,execution_chunks,source_endpoint_maximum_difference,mps_endpoint_maximum_difference,source_physical_endpoints
OPT-OMC-SCHED-E1-TEST-ROF-A-P2048-INTRA-WIDE-v2,139.62338783731684,138.88653837470338,441.25656653987244,0.9947225928690971,3.1603341916757213,2048,2048,2048,50637832192,0.5956138660417646,10,14,4.0,8.0,"{'same_source_set': True, 'convergence_state_mismatch_count': 0, 'metrics': {'energy_error_eV_per_atom': {'min': 0.0, 'mean': 2.429430448525661e-07, 'p50': 0.0, 'p95': 1.2887490762246622e-08, 'max': 7.53789334683805e-05}, 'final_fmax_error_eV_per_A': {'min': 0.0, 'mean': 2.1195764929871075e-05, 'p50': 0.0, 'p95': 0.0, 'max': 0.005779135972261429}, 'stress_tensor_error_eV_per_A3': {'min': 0.0, 'mean': 3.928178350376399e-07, 'p50': 0.0, 'p95': 0.0, 'max': 0.00015482517483178526}, 'position_rmsd_A': {'min': 0.0, 'mean': 2.9798810945380663e-05, 'p50': 0.0, 'p95': 0.0, 'max': 0.008781256453520375}, 'cell_rmsd_A': {'min': 0.0, 'mean': 5.7440307826536185e-06, 'p50': 0.0, 'p95': 0.0, 'max': 0.001904845341175152}, 'absolute_step_difference': {'min': 0.0, 'mean': 0.01513671875, 'p50': 0.0, 'p95': 0.0, 'max': 4.0}}, 'maximums': {'max_energy_error_eV_per_atom': 7.53789334683805e-05, 'max_final_fmax_error_eV_per_A': 0.005779135972261429, 'max_stress_tensor_error_eV_per_A3': 0.00015482517483178526, 'max_position_rmsd_A': 0.008781256453520375, 'max_cell_rmsd_A': 0.001904845341175152}, 'tolerances': {'max_energy_error_eV_per_atom': 0.0001, 'max_final_fmax_error_eV_per_A': 0.03, 'max_stress_tensor_error_eV_per_A3': 0.01, 'max_position_rmsd_A': 0.02, 'max_cell_rmsd_A': 0.02}, 'failed_checks': [], 'passed': True}"
OPT-OMC-SCHED-E1-TEST-ROF-C-P2048-INTRA-WIDE-v2,92.86829403601587,93.64476616261527,212.01317953225225,1.008361003447509,2.282944698542971,2048,2048,2048,43532681216,0.512041440871985,9,14,26.0,98.0,"{'same_source_set': True, 'convergence_state_mismatch_count': 0, 'metrics': {'energy_error_eV_per_atom': {'min': 0.0, 'mean': 6.184652165481539e-07, 'p50': 0.0, 'p95': 0.0, 'max': 0.0006359562729344224}, 'final_fmax_error_eV_per_A': {'min': 0.0, 'mean': 1.5227882613544352e-05, 'p50': 0.0, 'p95': 0.0, 'max': 0.008571472018957138}, 'stress_tensor_error_eV_per_A3': {'min': 0.0, 'mean': 6.065897437679268e-07, 'p50': 0.0, 'p95': 0.0, 'max': 0.00043964308133581653}, 'position_rmsd_A': {'min': 0.0, 'mean': 7.63889441158827e-05, 'p50': 0.0, 'p95': 0.0, 'max': 0.07617466441652597}, 'cell_rmsd_A': {'min': 0.0, 'mean': 1.588189184474649e-05, 'p50': 0.0, 'p95': 0.0, 'max': 0.01564396859962258}, 'absolute_step_difference': {'min': 0.0, 'mean': 0.0283203125, 'p50': 0.0, 'p95': 0.0, 'max': 26.0}}, 'maximums': {'max_energy_error_eV_per_atom': 0.0006359562729344224, 'max_final_fmax_error_eV_per_A': 0.008571472018957138, 'max_stress_tensor_error_eV_per_A3': 0.00043964308133581653, 'max_position_rmsd_A': 0.07617466441652597, 'max_cell_rmsd_A': 0.01564396859962258}, 'tolerances': {'max_energy_error_eV_per_atom': 0.0001, 'max_final_fmax_error_eV_per_A': 0.03, 'max_stress_tensor_error_eV_per_A3': 0.01, 'max_position_rmsd_A': 0.02, 'max_cell_rmsd_A': 0.02}, 'failed_checks': ['max_energy_error_eV_per_atom', 'max_position_rmsd_A'], 'passed': False}"
OPT-OMC-SCHED-E1-TEST-XULDUD-P2048-INTRA-WIDE-v2,76.51341496314853,79.93288198020309,160.82275721384212,1.0446910782730257,2.1018896789706725,2048,2048,2048,55140417536,0.6485743137511851,12,14,9.0,197.0,"{'same_source_set': True, 'convergence_state_mismatch_count': 0, 'metrics': {'energy_error_eV_per_atom': {'min': 0.0, 'mean': 3.2016452258596053e-07, 'p50': 0.0, 'p95': 5.501967210036058e-08, 'max': 0.000401001710158128}, 'final_fmax_error_eV_per_A': {'min': 0.0, 'mean': 9.341111035610083e-05, 'p50': 0.0, 'p95': 5.194917321205139e-05, 'max': 0.019942356273531914}, 'stress_tensor_error_eV_per_A3': {'min': 0.0, 'mean': 3.958115468155957e-06, 'p50': 0.0, 'p95': 4.2149164869442757e-07, 'max': 0.0013350944500416517}, 'position_rmsd_A': {'min': 0.0, 'mean': 4.7568388994822745e-05, 'p50': 0.0, 'p95': 4.711238177893339e-06, 'max': 0.02855090635092961}, 'cell_rmsd_A': {'min': 0.0, 'mean': 1.3942419646209581e-05, 'p50': 0.0, 'p95': 4.801376695062386e-07, 'max': 0.004642440807697407}, 'absolute_step_difference': {'min': 0.0, 'mean': 0.0107421875, 'p50': 0.0, 'p95': 0.0, 'max': 9.0}}, 'maximums': {'max_energy_error_eV_per_atom': 0.000401001710158128, 'max_final_fmax_error_eV_per_A': 0.019942356273531914, 'max_stress_tensor_error_eV_per_A3': 0.0013350944500416517, 'max_position_rmsd_A': 0.02855090635092961, 'max_cell_rmsd_A': 0.004642440807697407}, 'tolerances': {'max_energy_error_eV_per_atom': 0.0001, 'max_final_fmax_error_eV_per_A': 0.03, 'max_stress_tensor_error_eV_per_A3': 0.01, 'max_position_rmsd_A': 0.02, 'max_cell_rmsd_A': 0.02}, 'failed_checks': ['max_energy_error_eV_per_atom', 'max_position_rmsd_A'], 'passed': False}"
