workload_id,offline_external_seconds,probe_backed_external_seconds,mps_external_seconds,speedup_over_probe_backed,speedup_over_mps,offline_converged,probe_backed_converged,mps_converged,peak_reserved_bytes,peak_reserved_fraction,resident_plan_chunks,execution_chunks,maximum_actual_to_predicted_memory_ratio,source_endpoint_maximum_difference,mps_endpoint_maximum_difference
OPT-OMC-SCHED-E1-TEST-ROF-A-P2048-INTRA-WIDE-v2,132.86048129107803,138.88653837470338,441.25656653987244,1.045356279196544,3.321202529540318,2048,2048,2048,54058287104,0.6358460459272164,10,14,0.916044072759271,7.0,8.0
OPT-OMC-SCHED-E1-TEST-ROF-C-P2048-INTRA-WIDE-v2,94.16532296873629,93.64476616261527,212.01317953225225,0.9944718842381728,2.251499520716798,2048,2048,2048,43532681216,0.512041440871985,9,14,0.9103649172532511,26.0,98.0
OPT-OMC-SCHED-E1-TEST-XULDUD-P2048-INTRA-WIDE-v2,74.4816973078996,79.93288198020309,160.82275721384212,1.0731882444860092,2.159225192586812,2048,2048,2048,43109056512,0.5070586693595011,10,14,0.8995720371875258,6.0,197.0
