family,split,pool_size,gpu_count,worker_pool_size,resident_capacity,pool_to_resident_ratio_per_worker,mean_atom_count,atom_count_cv,mean_edge_count,edge_count_cv,active_wall_seconds,refill_wall_seconds,refill_speedup,active_systems_per_second,refill_systems_per_second,active_converged,refill_converged,refill_peak_reserved_GiB_per_worker,refill_peak_reserved_fraction,endpoint_max_energy_difference_meV_per_atom,endpoint_energy_outliers_above_5_meV_per_atom,endpoint_max_position_rmsd_A,endpoint_max_cell_rmsd_A,endpoint_convergence_mismatches,endpoint_gate_passed,memory_gate_passed,all_jobs_converged,predicted_mode,measured_speed_mode,speed_prediction_correct,selected_refill_scientifically_valid
XATMOV88,fit,128,1,128,32,4.0,88.0,0.0,4850.96875,0.303700877578139,23.590779463294894,18.688686140347272,1.2623027261592468,5.425848696485691,6.849063601301483,128,128,7.435546875,0.09390797598032792,0.013817440379749645,0,0.005116412931501563,0.002031771684698756,0,True,True,True,refill,refill,True,True
XATMOV88,fit,128,1,128,64,2.0,88.0,0.0,4850.96875,0.303700877578139,16.754380269907415,14.885567391756922,1.1255452902107965,7.6397931727681465,8.598933223793786,128,128,13.392578125,0.16914289238169386,0.8532675829800692,0,0.09295872200207762,0.01844292031826535,0,True,True,True,refill,refill,True,True
XATMOV88,fit,512,1,512,64,8.0,88.0,0.0,4836.234375,0.3001097285072811,58.795467014890164,50.69863908784464,1.1597050349421865,8.708154318603068,10.098890408337521,512,512,16.306640625,0.20594633345409977,0.00288269736550071,0,0.0011940659000895246,0.00022416058138159092,0,True,True,True,refill,refill,True,True
XATMOV88,fit,512,1,512,128,4.0,88.0,0.0,4836.234375,0.3001097285072811,50.474017900880426,47.33151508215815,1.0663934550429564,10.143832833071707,10.81731694223752,512,512,29.849609375,0.3769885991351068,0.025543299588290127,0,0.008855074022387164,0.004807412870253773,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,128,1,128,32,4.0,172.0,0.0,7256.4375,0.21012667835848856,60.2290533692576,49.713198544923216,1.2115304412535788,2.125220185933295,2.574768949624778,128,128,11.009765625,0.13904892582114747,0.07562859113826308,0,0.01757530114035898,0.004862884728278111,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,128,1,128,64,2.0,172.0,0.0,7256.4375,0.21012667835848856,46.84469783492386,43.4477299451828,1.078185163966609,2.732433037588576,2.946068762660218,128,128,19.8359375,0.25051993802369593,1.411948093148165,0,0.13853200522218673,0.03401752060454906,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,512,1,512,64,8.0,172.0,0.0,7246.49609375,0.2052123725755598,184.01013830397278,155.22929680207744,1.1854085671636578,2.7824553838126533,3.2983464497221626,512,512,23.31640625,0.29447686295065795,0.6477777348008267,0,0.0872385195867002,0.029856020185934227,0,True,True,True,refill,refill,True,True
XAFPAY172,fit,512,1,512,128,4.0,172.0,0.0,7246.49609375,0.2052123725755598,163.3055510018021,149.50015654508024,1.092343678934938,3.135227166860666,3.4247455777453424,512,512,43.18359375,0.5453914759456396,3.4081215082212934,0,0.37108683648527974,0.1557638074076961,0,True,True,True,refill,refill,True,True
SOXLEX48,heldout,128,1,128,32,4.0,48.0,0.0,1818.375,0.23809952467806164,24.028559788595885,16.77250371593982,1.4326161553185552,5.32699425709025,7.631538031996658,128,128,2.921875,0.03690210981522736,0.06410479545593262,0,0.005106782489573173,0.002609178535912366,0,True,True,True,refill,refill,True,True
SOXLEX48,heldout,128,1,128,64,2.0,48.0,0.0,1818.375,0.23809952467806164,17.963119372259825,16.02665135404095,1.120827986797792,7.125711150017099,7.986696482776245,128,128,5.091796875,0.06430735313388886,2.9671192169189453,0,0.1743345831681911,0.12235146243467891,0,True,True,True,refill,refill,True,True
SOXLEX48,heldout,512,1,512,64,8.0,48.0,0.0,1829.28125,0.23067622404467114,66.3265017978847,52.759315045550466,1.2571524429500425,7.719387968932937,9.70444744322321,512,512,6.126953125,0.07738096155773277,0.46751896540323895,0,0.05502418231911371,0.033156753645694315,0,True,True,True,refill,refill,True,True
SOXLEX48,heldout,512,1,512,128,4.0,48.0,0.0,1829.28125,0.23067622404467114,56.53771916218102,46.83255170099437,1.2072312335904725,9.055901221117617,10.932566802443288,512,512,11.224609375,0.14176231624873772,3.660867611567179,0,0.31049471789310223,0.12224002611206565,0,True,True,True,refill,refill,True,True
XATMOV88,fit,512,2,256,64,4.0,88.0,0.0,4836.234375,0.3001097285072811,30.33526822598651,28.921460905112326,1.0488843674084345,16.878044268004807,17.703116785137777,512,512,14.78515625,0.18673059578961973,3.7082542072642934,0,0.2667176199086264,0.11073410451639858,0,True,True,True,active,active,True,True
XATMOV88,fit,1024,4,256,64,4.0,88.0,0.0,4839.6015625,0.2975822009821317,33.39701983937994,28.63059789594263,1.1664800001998135,30.661418441670513,35.76593138996638,1024,1024,14.880859375,0.18793928788918265,3.6947510459206323,0,0.2641703331396598,0.10919023427602423,0,True,True,True,refill,refill,True,True
BOQWIN116,heldout,512,2,256,64,4.0,116.0,0.0,6766.015625,0.19788321814372506,97.01213660184294,84.7655700580217,1.1444757173866527,5.277690172945573,6.0401882468263715,512,512,20.2734375,0.2560453876216979,0.8835874754807045,0,0.10863949551169982,0.036446204820302794,0,True,True,True,active,refill,False,True
BOQWIN116,heldout,1024,4,256,64,4.0,116.0,0.0,6768.6171875,0.19683364742851578,104.58464637305588,87.08615645766258,1.2009330831347491,9.791112132725182,11.758470480871702,1024,1024,20.271484375,0.2560207204359925,6.5264866269868,2,0.4974283755987402,0.427797310260453,0,False,True,True,refill,refill,True,False
