mlip,workload,selected_tensor_method,selected_batch_size,ase1_seconds,mps32_seconds,tensor_seconds,tensor_speedup_vs_ase1,tensor_speedup_vs_mps32,ase1_peak_allocated_bytes,ase1_peak_reserved_bytes,mps32_peak_nvidia_smi_bytes,tensor_peak_allocated_bytes,tensor_peak_reserved_bytes
atombit,GUFJOG44,active,256,1031.074583185371,89.74504904076457,58.80562085378915,17.53360594132616,1.5261304572211116,206604288,266338304,35181821952,19107114496,83913342976
atombit,XATMOV88,active,256,288.3218870619312,29.593450671061873,21.332686296198517,13.515498379278663,1.3872350748595326,372042752,501219328,37327208448,43599393792,80081846272
atombit,OBEQIX220,active,128,1876.2581258323044,127.10203870898113,98.58484748518094,19.031911837306836,1.2892654596649533,594339840,2434793472,56772001792,42001727488,82701189120
atombit,ROFA-MIX,active,256,1134.1369854086079,86.87726802378893,46.83345928275958,24.216382961617114,1.8550256452179341,439106560,622854144,38770049024,56335944192,83470843904
mace,GUFJOG44,active,256,936.8782908520661,71.25189931876957,52.114081548992544,17.977449913826174,1.3672293015811001,149672448,182452224,34040971264,16939340800,21011365888
mace,XATMOV88,active,256,429.6456912863068,48.68896743375808,33.582316495943815,12.793807459297838,1.4498394546319906,239177728,497025024,36605788160,34715056640,42135977984
mace,OBEQIX220,active,128,1931.6451673931442,117.50749272434041,118.96771929785609,16.236716806825044,0.9877258588957248,433085952,706740224,45329940480,42922489856,52663681024
mace,ROFA-MIX,active,256,1271.2477225651965,118.98100060597062,64.55008485587314,19.693974460353186,1.8432353864697522,522785280,838860800,41957720064,71727139840,83516981248
